Sett_Date,Sett_Period,Scottish Wind Output,England/Wales Wind Output,Total
2018-04-01,1,614.578,1680.06,2294.638
2018-04-01,2,560.996,1625.204,2186.2
2018-04-01,3,514.734,1446.452,1961.186
2018-04-01,4,466.56,1273.264,1739.824
2018-04-01,5,387.37,1387.798,1775.168
2018-04-01,6,339.272,1518.742,1858.014
2018-04-01,7,296.536,1578.12,1874.656
2018-04-01,8,263.488,1577.462,1840.95
2018-04-01,9,264.544,1523.086,1787.63
2018-04-01,10,254.036,1528.076,1782.112
2018-04-01,11,251.468,1494.1,1745.568
2018-04-01,12,259.578,1551.354,1810.932
2018-04-01,13,285.622,1461.224,1746.846
2018-04-01,14,286.83,1229.188,1516.018
2018-04-01,15,265.56,1096.856,1362.416
2018-04-01,16,219.83,976.822,1196.652
2018-04-01,17,193.022,886.766,1079.788
2018-04-01,18,170.468,804.494,974.962
2018-04-01,19,137.01,639.612,776.622
2018-04-01,20,126.984,491.73,618.714
2018-04-01,21,112.596,429.998,542.594
2018-04-01,22,111.836,358.762,470.598
2018-04-01,23,117.904,348.592,466.496
2018-04-01,24,110.888,387.316,498.204
2018-04-01,25,96.448,385.798,482.246
2018-04-01,26,77.288,374.11,451.398
2018-04-01,27,73.55,359.492,433.042
2018-04-01,28,97.26,354.052,451.312
2018-04-01,29,98.338,339.604,437.942
2018-04-01,30,112.978,338.02,450.998
2018-04-01,31,117.582,358.534,476.116
2018-04-01,32,82.97,410.458,493.428
2018-04-01,33,103.66,429.632,533.292
2018-04-01,34,120.604,470.844,591.448
2018-04-01,35,123.22,600.264,723.484
2018-04-01,36,116.898,767.724,884.622
2018-04-01,37,121.176,941.962,1063.138
2018-04-01,38,155.378,1096.412,1251.79
2018-04-01,39,181.358,1234.692,1416.05
2018-04-01,40,233.532,1397.892,1631.424
2018-04-01,41,359.428,1584.674,1944.102
2018-04-01,42,418.13,1815.39,2233.52
2018-04-01,43,450.254,2015.902,2466.156
2018-04-01,44,443.194,2064.566,2507.76
2018-04-01,45,469.9,2173.108,2643.008
2018-04-01,46,503.634,2400.556,2904.19
2018-04-01,47,562.692,2737.106,3299.798
2018-04-01,48,590.788,2996.166,3586.954
2018-04-02,1,661.588,3123.268,3784.856
2018-04-02,2,713.106,3211.488,3924.594
2018-04-02,3,716.046,3344.83,4060.876
2018-04-02,4,719.666,3365,4084.666
2018-04-02,5,753.432,3510.906,4264.338
2018-04-02,6,833.704,3687.204,4520.908
2018-04-02,7,895.046,3928.694,4823.74
2018-04-02,8,1057.904,4107.174,5165.078
2018-04-02,9,1307.938,4222.064,5530.002
2018-04-02,10,1522.02,4382.306,5904.326
2018-04-02,11,1595.756,4525.482,6121.238
2018-04-02,12,1730.38,4953.508,6683.888
2018-04-02,13,1906.504,5196.038,7102.542
2018-04-02,14,2045.902,5394.644,7440.546
2018-04-02,15,2202.538,5614.286,7816.824
2018-04-02,16,2367.324,5665.28,8032.604
2018-04-02,17,2571.476,5624.468,8195.944
2018-04-02,18,2722.224,5533.482,8255.706
2018-04-02,19,2863.812,5620.036,8483.848
2018-04-02,20,3000.522,5778.618,8779.14
2018-04-02,21,3091.286,5753.872,8845.158
2018-04-02,22,3220.278,5606.954,8827.232
2018-04-02,23,3338.998,5483.104,8822.102
2018-04-02,24,3422.45,5259.374,8681.824
2018-04-02,25,3516.29,5526.35,9042.64
2018-04-02,26,3542.884,5595.584,9138.468
2018-04-02,27,3586.822,5619.978,9206.8
2018-04-02,28,3612.796,5429.75,9042.546
2018-04-02,29,3642.662,5272.234,8914.896
2018-04-02,30,3667.266,5211.426,8878.692
2018-04-02,31,3630.84,5192.082,8822.922
2018-04-02,32,3584.974,5171.378,8756.352
2018-04-02,33,3742.302,5267.044,9009.346
2018-04-02,34,3688.528,5152.314,8840.842
2018-04-02,35,3708.206,5259.064,8967.27
2018-04-02,36,3694.656,5344.654,9039.31
2018-04-02,37,3700.05,5204.452,8904.502
2018-04-02,38,3689.108,5106.468,8795.576
2018-04-02,39,3638.608,5061.032,8699.64
2018-04-02,40,3502.688,4996.606,8499.294
2018-04-02,41,3459.874,4743.918,8203.792
2018-04-02,42,3413.89,4579.76,7993.65
2018-04-02,43,3381.808,4490.874,7872.682
2018-04-02,44,3310.222,4420.054,7730.276
2018-04-02,45,3204.764,4484.702,7689.466
2018-04-02,46,3066.234,4441.658,7507.892
2018-04-02,47,2973.452,4517.38,7490.832
2018-04-02,48,2866.358,4549.98,7416.338
2018-04-03,1,2741.206,4670.05,7411.256
2018-04-03,2,2681.882,4807.49,7489.372
2018-04-03,3,2526.388,4738.338,7264.726
2018-04-03,4,2380.524,4766.558,7147.082
2018-04-03,5,2245.28,4593.842,6839.122
2018-04-03,6,2121.566,4468.266,6589.832
2018-04-03,7,2006.294,4324.494,6330.788
2018-04-03,8,1847.476,4406.16,6253.636
2018-04-03,9,1771.912,4403.628,6175.54
2018-04-03,10,1733.998,4420.33,6154.328
2018-04-03,11,1687.126,4405.784,6092.91
2018-04-03,12,1587.332,4421.376,6008.708
2018-04-03,13,1490.626,4445.74,5936.366
2018-04-03,14,1453.834,4411.242,5865.076
2018-04-03,15,1395.204,4381.282,5776.486
2018-04-03,16,1308.698,4305.968,5614.666
2018-04-03,17,1155.886,4245.656,5401.542
2018-04-03,18,1111.356,4333.808,5445.164
2018-04-03,19,1112.09,4499.018,5611.108
2018-04-03,20,1069.118,4480.784,5549.902
2018-04-03,21,1084.118,4708.374,5792.492
2018-04-03,22,1085.246,4658.308,5743.554
2018-04-03,23,1137.9,4497.29,5635.19
2018-04-03,24,1163.604,4694.178,5857.782
2018-04-03,25,1205.09,4709.43,5914.52
2018-04-03,26,1202.982,4969.374,6172.356
2018-04-03,27,1150.526,5189.66,6340.186
2018-04-03,28,1108.4,5265.714,6374.114
2018-04-03,29,1054.922,5295.812,6350.734
2018-04-03,30,1044.348,5378.894,6423.242
2018-04-03,31,1028.138,5365.718,6393.856
2018-04-03,32,1046.03,5306.606,6352.636
2018-04-03,33,1147.006,5236.06,6383.066
2018-04-03,34,1227.718,5074.66,6302.378
2018-04-03,35,1200.548,5038.806,6239.354
2018-04-03,36,1167.77,4950.434,6118.204
2018-04-03,37,1087.894,4779.588,5867.482
2018-04-03,38,1023.386,5045.076,6068.462
2018-04-03,39,904.002,5136.686,6040.688
2018-04-03,40,780.85,4979.872,5760.722
2018-04-03,41,777.614,4835.416,5613.03
2018-04-03,42,781.51,4472.73,5254.24
2018-04-03,43,727.938,4207.074,4935.012
2018-04-03,44,660.75,4225.81,4886.56
2018-04-03,45,627.736,4320.396,4948.132
2018-04-03,46,545.92,4253.766,4799.686
2018-04-03,47,502.584,4003.062,4505.646
2018-04-03,48,542.128,3766.014,4308.142
2018-04-04,1,557.074,3802.772,4359.846
2018-04-04,2,542.88,3732.012,4274.892
2018-04-04,3,545.66,3796.698,4342.358
