Wind_Farm,Country
West Durham,England
Scout Moor,England
Rusholme,England
Royd Moor,England
Red Tile,England
Little Cheyne Court,England
Lissett Airfield,England
Kirkby Moor,England
Hyndburn,England
Hall Farm,England
Green Rigg,England
Goole Fields 2,England
Goole Fields 1,England
Frodsham,England
Four Burrows,England
Conisholme Fen Resubmission,England
Cold Northcott,England
Coal Clough,England
Bicker Fen,England
Bears Down,England
Barrow,England
Blyth Offshore Demonstrator,England
Burbo Bank,England
Burbo Bank Extension,England
Dudgeon,England
East Anglia One,England
Galloper,England
Greater Gabbard,England
Gunfleet Sands 1 & 2,England
Gunfleet Sands 3 – Demonstration Project,England
Hornsea One,England
Hornsea Two,England
Humber Gateway,England
Kentish Flats,England
Lincs,England
London Array,England
Lynn and Inner Dowsing,England
Ormonde,England
Race Bank,England
Rampion,England
Scroby Sands,England
Sheringham Shoal,England
Teesside,England
Thanet,England
Triton Knoll,England
Walney,England
Walney Extension,England
Westermost Rough,England
West of Duddon Sands,England
Sofia Offshore Wind Farm,England
Dogger Bank A,England
Dogger Bank B,England
Dogger Bank C,England
East Anglia Three,England
Hornsea Three,England
Norfolk Boreas,England
Norfolk Vanguard West,England
Norfolk Vanguard East,England
TwinHub Floating Offshore Wind Project,England
East Anglia Two,England
Dogger Bank SE,England
Dogger Bank SW,England
East Anglia One North,England
Rampion 2 Extension,England
Five Estuaries,England
North Falls,England
Dogger Bank D,England
Outer Dowsing,England
Morecambe,England
Mona,England
Sheringham Shoal and Dudgeon Extensions,England
Whitecross,England
Blyth Offshore,England
Hornsea Four,England
Morgan,England
Aikengall,Scotland
Dalry,Scotland
Millour Hill Extension,Scotland
Millour Hill,Scotland
Calder Water,Scotland
Aikengall IIa,Scotland
Aikengall II,Scotland
Sanquhar,Scotland
Boyndie Airfield,Scotland
Cairnmore,Scotland
Dummuie,Scotland
Glens of Foudland,Scotland
Hill of Balquhindachy (Extension),Scotland
Hill of Eastertown,Scotland
Hill of Fiddes,Scotland
Hill of Skelmonae,Scotland
House O Hill,Scotland
North Redbog,Scotland
St John's Wells,Scotland
Strath of Brydock,Scotland
Tullo,Scotland
Twinshiels,Scotland
Upper Ardgrain,Scotland
Ardkinglas/ Clachan Flats,Scotland
Beinn an Tuirc,Scotland
Beinn Ghlas,Scotland
Cruach Mhor,Scotland
Deucheran Hill,Scotland
Tangy,Scotland
Artfield Fell,Scotland
Craig Wind Farm,Scotland
"Dalswinton, Pennyland Moor",Scotland
Minsca,Scotland
North Rhins,Scotland
Wether Hill,Scotland
Windy Standard,Scotland
Michelin Tyre Factory,Scotland
Hare Hill,Scotland
Myres Hill,Scotland
"Whitelee, Eaglesham Moor",Scotland
"Achairn Farm, Stirkoke",Scotland
Achany Estate,Scotland
Beinn Tharsuinn,Scotland
Beinn Tharsuinn Extension,Scotland
Ben Aketil,Scotland
Ben Aketil Extension,Scotland
Bilbster (Watten),Scotland
Boulfruich,Scotland
Causeymire,Scotland
Edinbane,Scotland
Fairburn Estate,Scotland
Farr Wind Farm,Scotland
Forss Extension,Scotland
"Forss, Hill of Lybster",Scotland
Gordonbush,Scotland
Gigha Community,Scotland
Kilbraur (Strathbrora),Scotland
Millennium (Glenmoriston),Scotland
Millennium Extension (Glenmoriston),Scotland
Novar,Scotland
Findhorn Foundation Extension,Scotland
Paul's Hill,Scotland
Rothes (Cairn Uish),Scotland
Ardrossan,Scotland
Ardrossan Extension,Scotland
Hagshaw Hill Extension,Scotland
Bu Farm,Scotland
Burgar Hill,Scotland
Hammars Hill,Scotland
Spurness Wind Farm,Scotland
Drumderg,Scotland
Green Knowes,Scotland
Toddleburn,Scotland
Black Hill,Scotland
Bowbeat,Scotland
Carcant,Scotland
Crystal Rig,Scotland
Crystal Rig1a,Scotland
Crystal Rig2 & 2a,Scotland
Dun Law,Scotland
Dun Law Extension,Scotland
Longpark,Scotland
Burradale Phase 1,Scotland
Burradale Phase 2,Scotland
Arecleoch,Scotland
"Hadyard Hill, Barr",Scotland
Black Law Phase I,Scotland
Black Law Phase II,Scotland
Greendykeside Wind Farm,Scotland
Hagshaw Hill,Scotland
Lochhead Farm,Scotland
Braes of Doune,Scotland
Burnfoot Hill,Scotland
Craigengelt,Scotland
Earlsburn,Scotland
Rhodders,Scotland
Pates Hill,Scotland
Arnish Moor,Scotland
Beatrice,Scotland
Beatrice extension,Scotland
European Offshore Wind Deployment Centre,Scotland
Hywind Scotland,Scotland
Kincardine,Scotland
Methil,Scotland
Moray East,Scotland
Moray West,Scotland
Neart Na Gaoithe,Scotland
Robin Rigg,Scotland
Seagreen Phase 1,Scotland
Inch Cape,Scotland
Green Volt OWF,Scotland
Berwick Bank Phase B,Scotland
Pentland Floating OWF,Scotland
Forthwind,Scotland
Berwick Bank,Scotland
Seagreen Phase 1A,Scotland
Morven,Scotland
Ossian,Scotland
Bellrock,Scotland
CampionWind,Scotland
Muir Mhòr,Scotland
Bowdun,Scotland
Ayre,Scotland
Broadshore,Scotland
Caledonia,Scotland
Stromar,Scotland
MarramWind,Scotland
Buchan,Scotland
West of Orkney,Scotland
Havbredey,Scotland
"""N3 Project""",Scotland
Spiorad na Mara,Scotland
MachairWind,Scotland
Alltwalis (formerly Blaengwen),Wales
Blaen Bowi,Wales
Braich Ddu Farm,Wales
Bryn Titli,Wales
Carno ’A’ & ’B’,Wales
Carno Extension,Wales
Castle Pill Farm Repowering,Wales
Cefn Croes,Wales
Cemmaes,Wales
Dyffryn Brodyn,Wales
Ffynnon Oer,Wales
Hafoty Ucha 2 Extension,Wales
Llandinam P&L,Wales
Llangwyryfon,Wales
Llyn Alaw,Wales
Moel Maelogen,Wales
Moel Maelogen Extension,Wales
Mynydd Clogau,Wales
Mynydd Gorddu,Wales
Parc Cynog,Wales
Pen y Cymoedd,Wales
Pendine (Parc Cynog Extension I),Wales
Rheidol,Wales
Rhyd-y-Groes,Wales
Solutia UK Ltd,Wales
Taff Ely,Wales
Tir Mostyn & Foel Goch,Wales
